한글,日本語,예문,例文
(으)ㄹ 리가 없다,〜するはずがない,돈이 부족할 리가 없어요.,お金が足りないはずがありません。
(으)ㄹ 만하다,〜に値する,타개책을 시도할 만합니다.,打開策を試みるに値します。
(으)ㄹ 뻔하다,〜しそうだった,과음해서 의식을 잃어버릴 뻔했어요.,飲みすぎて意識を失いそうだった。
(으)ㄹ 뿐만 아니라,〜だけでなく,그 애기는 걸을 뿐만 아니라 잘 달린다.,その子は歩くだけでなくよく走る。
(으)ㄹ 뿐이다,〜だけだ,국적이 다를 뿐이지 같은 인간이에요.,国籍が違うだけで同じ人間ですよ。
(으)ㄹ 수밖에 (없다),〜するしかない,시간이 없으니까 뛰어갈 수밖에 없다.,時間がないので走っていくしかない。
(으)ㄹ 정도(로),〜するほど,놀라울 정도로 크게 외쳤다.,驚くほど大きく叫んだ。
(으)ㄹ 지경이다,〜する寸前だ,그녀가 화낼 지경이에요.,彼女が怒る寸前です。
(으)ㄹ 테니(까),〜するから,빨래를 널 테니까 애기를 봐줘.,洗濯物を干すから子供を見てね。
(으)ㄹ 텐데,〜のはずだが,거기에 있을 텐데.,そこにあるはずだけど。
(으)ㄹ걸 (그랬다),〜すればよかった,우산 가져올걸.,傘を持ってくればよかった。
(으)ㄹ까 말까,〜するかどうか,건널까 말까 고민했다.,渡るかどうか悩んだ。
(으)ㄹ수록,〜するほど,가면 갈수록 힘든 산길.,行けば行くほどしんどい山道。
(으)ㄹ지(도) 모르다,〜か分からない,어떻게 편집해야할지 잘 모르겠어요.,どう編集したらいいのかよく分かりません。
(으)ㄹ지라도,〜だとしても,아무리 어려울지라도 해낸다.,どんなに困難でもやり遂げる。
(으)라고 하다,〜しなさいと言う,아버지가 빨리 손을 씻으라고 했어요.,お父さんが早く手を洗いなさいと言いました。
(으)려다가,〜しようとしていたら,외출하려다가 누나가 찾아왔다.,外出しようとしていたら姉さんがやってきた。
(으)려던 참이다,〜しようとしたところだ,학교에 가려던 참이에요.,学校に行こうとしたところです。
(으)려면,〜するなら,기념사진을 찍으려면 배경은 아름다워야한다.,記念写真を撮るなら背景は美しくなければならない。
(으)로 인해(서),〜によって,그 이야기는 인터넷으로 인해 확산되었다.,その話はインターネットによって拡散された。
(으)로서,〜として,선배로서 충고 하나 할게.,先輩として忠告を一言いうね。
(으)며,〜して,내 남자친구는 피아노도 잘 치며 노래도 잘해.,私の彼氏はピアノも上手で歌もうまい。
(으)면 되다,〜すればよい,웹사이트에서 접수하시면 됩니다.,ウェブサイトから手続きをされたらいいでしょう。
(으)므로,〜ので,아침 일찍 일어나야 하므로 이제 잡니다.,朝早く起きないといけないのでもう寝ます。
(이)나 (이)나 할 것 없이,〜や〜を問わず,아이나 어른이나 할 것 없이 건강은 중요하다.,子どもや大人を問わず健康は重要だ。
거든,〜だよ,어려보여도 제가 상사거든요.,若く見えたとしても私が上司ですよ。
게 하다,〜させる,동생은 나를 짜증나게 한다.,弟は私をイラつかせる。
고 나니(까),〜したら,푹 쉬고 나니 열이 내려갔어요.,よく休んだら熱が下がりました。
고 나면,〜したら,청소하고 나면 기분이 상쾌해진다.,掃除したら気分爽快になる。
고 나서,〜してから,이메일 먼저 확인하고 나서 연락드릴게요.,e-mailをまず確認してから連絡いたします。
고 말고(요),〜に決まっている,한국여행은 재미있고 말고요.,韓国旅行は楽しいに決まっています。
고 말다,〜してしまう,밤늦게까지 게임하고 말았어요.,夜遅くまでゲームをしてしまいました。
고 보면,〜してみると,배우고 보면 쉬운 스페인어.,習ってみると簡単なスペイン語。
곤 하다,〜したりする,분식점 앞에서 만나곤 했다.,食堂の前で会ったりした。
기 쉽다,〜しやすい,선생님의 수업은 이해하기 쉬워요.,先生の授業は理解しやすいです。
기 십상이다,〜しがちである,젊은 운전자는 실수하기 십상이다.,若いドライバーはミスをしがちである。
기 어렵다,〜しにくい,작은 신발로는 걷기 어렵다.,小さい靴では歩きにくい。
기 위해(서),〜のために,문제를 해결하기 위해서 다같이 모였다.,問題を解決するために皆で集まった。
기/게 마련이다,〜するものだ,준비 안 하면 후회하기 마련이다.,準備をしなければ後悔するものだ。
기는 하지만,〜とはいえ,영어는 어렵기는 하지만 재미도 있어요.,英語は難しいとはいえ面白みもあります。
기는(요),〜だなんて,고맙기는요. 별말씀을요.,ありがとうだなんて。とんでもないです。
기만 하면 (되다),〜さえすれば,단어를 외우기만 하면 100점이다.,単語を覚えさえすれば100点だ。
기에(는),〜するには,축구하기에는 날씨가 안 좋아요.,サッカーをするには天気が悪いです。
길래,〜なので,남편이 안 오길래 난 바람맞은 줄 알았다.,旦那が来ないから私はドタキャンされたと思った。
ㄴ/는 척하다,〜のふりをする,그 후배는 착한 척한다.,その後輩はいい子のふりをする。
ㄴ/는다,〜だ,후식에 딸기를 먹는다.,デザートにイチゴを食べる。
ㄴ/는다거나,〜だとか,독서한다거나 영화를 보러 간다.,読書するとか映画を見に行く。
ㄴ/는다고 치다,〜としたら,일본에 간다고 치면 어디로 갈까요?,日本に行くとしたらどこに行きましょうか？
ㄴ/는다고 하다,〜だと言う,병원에 안 다닌다고 했어요.,病院に通わないと言いました。
ㄴ/는다고 해도,〜と言っても,금연한다고 해도 잘 안 된다.,禁煙しようとしてもうまくいかない。
ㄴ/는다고(요),〜だそうだ,내일은 비가 온다고 해요.,明日は雨が降るそうです。
ㄴ/는다니,〜だなんて,5개국어를 한다니 대단합니다.,5か国語を話せるなんてすごいです。
ㄴ/는다니까,〜だってば,아무리 이유를 말해도 화를 낸다니까.,どんなに理由を言っても怒るんだってば。
ㄴ/는다더니,〜と言ってたけど,일찍 돌아온다더니 아직 안 왔다.,早く帰ってくると言ったけどまだ帰ってない。
ㄴ/는다더라,〜だそうだ,내일은 눈이 온다더라.,明日は雪が降るそうだ。
ㄴ/는다던데,〜と言うけど,잘 생겼다던데 정말이야?,カッコいいというけど本当?
ㄴ/는다면,〜なら,운동선수가 되고 싶다면 전문학원에 등록해야돼.,運動選手になりたいなら専門学校に登録しないと。
ㄴ/는다면서(요)?,〜なんだって？,영어 잘한다면서?,英語上手なんだって?
나 보다,〜するようだ,둘이 사귀나 보다.,二人は付き合っているようだ。
나(요)?,〜なの？,여기서 타면 되나?,ここから乗ったらいいの?
냐고 하다,〜かと言う,엄마가 시험은 언제냐고 했어요.,お母さんが試験はいつなのかと言いました。
느라고,〜したので,숙제하느라고 삼촌을 만날 시간이 없었다.,宿題をしたので叔父さんに会う時間がなかった。
는 (도)중에,〜している最中に,연기하는 중에 기침해버렸다.,演技している最中に咳してしまった。
는 길에,〜の途中で,집에 가는 길에 빵을 사 왔어요.,家に行く途中でパンを買ってきました。
는 대로,〜するとおり,바라는 대로 이루어진다.,願うとおり成される。
는 대신(에),〜する代わりに,술을 마시는 대신에 녹차를 마시자.,お酒を飲む代わりに緑茶を飲もう。
는 덕분에,〜のおかげで,버스가 늦게 온 덕분에 탈 수 있었다.,バスが遅く来たおかげで乗ることができた。
는 바람에,〜せいで,공부를 안 한 바람에 성적이 떨어졌어요.,勉強をしなかったせいで成績が落ちました。
는 사이에,〜する間に,제가 없는 사이에 택배가 오면 받아주세요.,私がいない間に宅配が来たら受け取ってくださいね。
는 셈 치다,〜のつもりでいる,연습하는 셈 치고 오디션에 간다.,練習するつもりでオーディションに行く。
는 수(가) 있다,〜することがある,전문가라고 해도 실패하는 수가 있어요.,専門家だといっても失敗することがあります。
는 수밖에 (없다),〜せざるを得ない,친척으로부터 돈을 빌리는 수밖에 없다.,親戚からお金を借りざるを得ない。
는 중이다,〜しているところだ,지금 직장에 가는 중이에요.,今職場に向かっているところです。
는 통에,〜のせいで,아이들이 떠드는 통에 집중할 수 없었어요.,子供達が騒ぐせいで集中できませんでした。
는 편이다,〜する方だ,저는 돈을 아끼는 편이에요.,私はお金を節約する方です。
는 한,〜する限り,내가 아는 한 그것은 사실이에요.,私が知る限りそれは事実です。
는 한편,〜する一方,회사에 다니는 한편 부업도 한다.,会社に通う一方で副業もする。
는/은커녕,〜どころか,술은커녕 차도 못 마셨어요.,お酒どころかお茶も飲めませんでした。
는구나,〜なんだね,이 애기는 벌써 걷는구나.,この子はもう歩くんだね。
니/냐?,〜なのかい？,기분 나쁘니?,気を悪くしたかい?
다(가) 보니(까),〜していたら,작업하다 보니까 새벽이 됐어요.,作業していたら朝になってました。
다(가) 보면,〜してみると,심호흡하다 보면 마음이 차분해집니다.,深呼吸してみると心が落ち着きます。
다가,〜していて,사용하다가 모르면 물어보세요.,使っていて分からなければ聞いてください。
다시피,〜のとおり,보다시피 요즘 직장인은 바빠요.,見ての通り最近の社会人は忙しいです。
대로,〜のとおり,교수님의 말씀대로 하자.,教授の言葉のとおりにしよう。
더군(요),〜なったんだ,따님에게 귀여운 이름을 지었더군요.,娘さんに可愛いお名前を付けたんですね。
더니,〜したらなんと,강의에 늦었더니 강사님이 야단치셨다.,講義に遅れたらなんと講師が叱ってきた。
더라,〜だよ,그 남자는 경찰에 잡혔더라.,その男は警察に捕まったんだよ。
더라고(요),〜だったよ,서울은 도쿄보다 춥더라고요.,ソウルは東京よりも寒かったんですよ。
더라도,〜としても,힘겨운 일이 있더라도 참는다.,苦しいことがあるとしても我慢する。
던,〜した,내가 다니던 중학교는 지금은 없어요.,私が通った中学校は今はありません。
던가(요)?,〜だったっけ？,오늘 결혼기념일이던가?,今日結婚記念日だったっけ?
던데,〜していたが,길이 막히던데 사고라도 났나?,道が混んでいたけど事故でもあったかな？
도록,〜するように,이 은혜를 갚도록 항상 최선을 다하겠습니다.,このご恩を返せるように常に最善を尽くします。
든지,〜しようが,좋든지 싫든지 수능 봐야한다.,好きだろうが嫌いだろうが受験をしなければいけない。
듯이,〜のように,미친 듯이 춤췄다.,狂ったように踊った。
(이)라도,でも,이 문제지라도 풀어볼래요?,この問題用紙でも解いてみますか?
만 못하다,〜に及ばない,중고는 신제품만 못해요.,中古は新品には及びません。
아/어/여 보이다,〜そうに見える,얼굴표정이 어제보다 밝아 보여요.,顔の表情が昨日より明るく見えます。
아/어/여서 그런지,〜でそうなのか,나이가 들어서 그런지 몸이 예전같지 않다.,年を取ったせいか体が昔のようではない。
아/어도,〜しても,설명 들어도 이해 못하겠어요.,説明を聞いても理解できません。
아/어라,〜せよ,공을 던져라.,ボールを投げろ。
아/어야,〜してこそ,술자리에는 친한 친구가 있어야 재미있다.,飲み会には親しい友達がいるからこそ楽しい。
아/어야지,〜しなきゃ,일찍 결혼해야지.,早く結婚しなきゃ。
아/어지다,〜になる,인터넷으로 세계는 가까워지고 있어요.,インターネットで世界は近くなっています。
았/었/였더라면,〜だったら,은행에서 돈을 찾았더라면 좋았을 텐데.,銀行でお金を下ろしていたらよかったのに。
았/었/였던 것 같다,〜だったらしい,걔는 취업했던 것 같다.,その子は就職したらしい。
았/었으면 하다,〜だったら良い,점심은 라면이었으면 해.,昼食はラーメンだったら良いな。
(이)야말로,こそ,지금이야말로 역사적인 순간입니다.,今こそ歴史的な瞬間です。
에 관해(서),〜について,인기 가수에 관해서 새로운 뉴스가 나왔어요.,人気歌手について新しいニュースが出ました。
에 대해(서),〜に対して,부부는 서로에 대해서 배려해야한다.,夫婦はお互いに対して配慮しなければならない。
에 따라(서),〜に従って,예산에 따라 여행일정도 달라져요.,予算に従って旅行日程も変わります。
에 의해(서),〜によって,역경은 희망에 의해서 극복할 수 있다.,逆境は希望によって克服できる。
에다(가),〜に,우유는 냉장고에다가 넣었어요.,牛乳は冷蔵庫に入れました。
을/를 비롯한,〜をはじめとして,나를 비롯한 모든 사람들이 찬성한다.,私をはじめとして全員が賛成している。
을/를 통해(서),〜を通して,그 배우는 드라마를 통해서 알게 되었어요.,その俳優はドラマを通して知りました。
자,〜しよう,이제 문 닫자.,もうドアを閉めよう。
자고 하다,〜しようと言う,동료가 포기하지 말자고 했다.,同僚が諦めるのはやめようと言った。
자마자,〜するとすぐ,사장님은 좋은 소식을 듣자마자 미소지었다.,社長は良い知らせを聞くとすぐに笑顔になった。
잖아(요),〜でしょう,내가 많이 사줬잖아.,私が沢山買ってあげたでしょう?
마저,さえも,숙제가 많은 데다가 시간마저 부족하다.,宿題が多いうえに時間さえも足りない。
만큼,ほど,가족만큼 중요한 것은 없다.,家族ほど大切なものはない。
아무 (이)나,何の〜でも,아무 옷이나 가져오세요.,なんの服でもいいから持ってきてください。
아무 도,何の〜も,아무 걱정도 없어요.,何の心配もありません。
얼마나 (으)ㄴ/는지,どれほど〜したのか,그 당시에는 얼마나 가난했는지 몰라요.,その当時はどれほど貧しかったか分かりません。
조차,〜さえ,기다림조차 설렙니다.,待つことでさえワクワクします。
치고(는),〜にしては,아이돌치고는 나이가 많다.,アイドルにしては年をとっている。
