가계부,家計簿
돌리다,回す
돌보다,面倒をみる、世話をする
돌솥,石鍋
돌아다니다,歩き回る
돌아보다,振り向いて見る
돌아서다,振り返る
돌잔치,一歳の誕生日
동굴,洞窟
동료,同僚
동물원,動物園
동부,東部
동서양,東洋と西洋
동시,同時
동양화,東洋画
동영상,動画
동일하다,同じである
동작,動作
동창,同窓
동창회,同窓会
동해안,東海岸
동호회,同好会
동화,童話
동화책,児童書
되도록,できるだけ
되돌리다,取り戻す
되돌아보다,振り返る
되살아나다,生き返る、蘇る
두려움,恐れ
두려워하다,恐れる
두세,二・三
두통,頭痛
두통약,頭痛薬
둔하다,鈍い
둘러보다,見回す
둥글다,丸い
뒤떨어지다,劣る、遅れる
뒤집다,裏返す
뒤풀이,打ち上げ
뒷모습,後ろ姿
뒷문,裏門
뒷이야기,裏話
뒷자리,後ろの席
드디어,いよいよ、ついに
드라이,ドライ
드림,ドリーム
드물다,まれだ
든든하다,心強い、頼もしい、しっかりしている
들려주다,聞かせてくれる
들르다,立ち寄る
들리다,聞こえる
들어보다,聞いてみる
들어주다,聞いてくれる
들이다,かける、費やす
등록,登録
등록금,登録金、授業料
등록증,登録証
등불,明かり、灯火
디스크,ディスク、ヘルニア
디자이너,デザイナー
디지털,デジタル
따다,もぎとる、摘む、得る
따라다니다,ついていく、つきまとう
따라서,従って
따로따로,別々、それぞれ
따지다,問い詰める
딱,ピッタリ
딱딱하다,固い
딴,べつの、他の
땅,土地
땅콩,ピーナッツ
때때로,時折
때로,時々
떠오르다,浮かぶ
떨다,震える、震わす
떨리다,震える、揺れる
떨어뜨리다,落とす、下落させる
떼다,取る、離す
또박또박,きちんと、はきはき、
또한,また
똑같이,同じく
똑똑하다,利口だ、賢い、頭いい
뚜렷하다,はっきりしている
뚫다,穴を開ける
뚱뚱하다,太っている
뛰어가다,走る
뛰어나다,優れている
뛰어내리다,飛び降りる
뛰어넘다,飛び越える
뛰어다니다,走りまわる
뛰어오다,走ってくる
뛰쳐나가다,飛び出す
뜨거워지다,熱くなる
뜻밖에,意外に
띠,干支
램프,ランプ
레몬,レモン
레포츠,レジャースポーツ
렌즈,レンズ
렌터카,レンタカー
로또,ロット、宝くじ
로봇,ロボット
로비,ロビー
룸메이트,ルームメイト
리듬,リズム
리모컨,リモコン
마감일,締め切り日
마네킹,マネキン
마당,庭
마디,節
마라톤,マラソン
마련하다,設ける
마루,板の間
마무리,仕上げ
마술,手品
마스크,マスク
마약,麻薬
마을,村
마음껏,心おきなく、思いっきり
마음대로,自分勝手に、思い通りに
마음먹다,決心する
마음씨,心、気立て
마주보다,向き合う
마주치다,ぶつかる、目が合う
마중,出迎え
마찬가지,同様
마치,まるで、あたかも、ちょうど
마침,ちょうど、たまたま
마침내,遂に
마케팅,マーケティング
마트,マート
막,めちゃくちゃに、やたらに
막내,末っ子
막다,ふさぐ、さえぎる
막대기,棒
막차,終電
만남,出会い
만년필,万年筆
만약,もしも、万が一
만족,満足
만족감,満足感
만화책,漫画
맏딸,長女
맏아들,長男
말다툼,口喧嘩、口論
말리다,引き止める、乾かす
말투,話し方、言葉使い
맛보다,味見する
망가뜨리다,壊す、ダメにする
망가지다,壊れる、駄目になる
망설이다,ためらう、躊躇する
망하다,滅ぶ
맞벌이,共稼ぎ
맞이,迎え
맞추다,合わせる、仕立てる
맡기다,任せる
맡다,引き受ける
매년,毎年
매달,毎月
매력,魅力
매력적,魅力的
매연,煤煙
매운탕,メウンタン、魚のアラ鍋
매점,売店
매진,売り切れ
매체,媒体
매콤하다,やや辛い、ピリ辛い
매표소,チケット売り場
맨발,素足
맨손,素手
맹인,盲人
맺다,結ぶ
머리카락,髪、髪の毛
머무르다,とどまる
머지않다,遠くない
먹을거리,食べ物
먹이,えさ
먹이다,食べさせる
먼지,ちり、ほこり
멀리,遠く
멀티미디어실,マルチメディア室
멈추다,止まる、泊まる
멋지다,素敵だ
멍,あざ
메일,メール
멜로디,メロディー
멜론,メロン
며느리,嫁
면,面、麺
면세점,免税店
면접,面接
면접관,面接官
면접시험,面接試験
면허증,免許証
명랑,明朗
명랑하다,朗らかだ、明るい
명사,名詞
명소,名所
명품,ブランド品、名品
몇몇,いくつかの、若干
모국어,母国語
모기,蚊
모델,モデル
모래,砂
모범생,模範生
모습,姿
모음,母音
모자라다,足りない
모집,募集
모험심,冒険心
모형,模型
목마르다,喉が渇く
목사,牧師
목숨,命
목욕탕,銭湯
목적지,目的地
목표,目標
몰라보다,わからない、見違える
몰래,こっそり
몰려들다,押し寄せる
몰리다,寄り集まる
몸무게,体重
몸짓,身振り、ジャスチャー
몹시,とても、たいへん、ひどく
못생기다,ぶさいくだ、醜い
무게,重さ
무관심,無関心
무너지다,崩れる
무늬,柄、模様
무대,舞台、ステージ
무더위,蒸し暑さ
무덤,墓
무덥다,蒸し暑い
무렵,頃
무사히,無事に
무서워하다,怖い
무선,無線
무소식,便りのないこと
무시,無視
무인,無人
무조건,無条件
무지개,虹
무통장,입금 電子振込、ATM入金
묵다,泊まる
묶다,束ねる、縛る
문구,文具、文房具
문명,文明
문법,文法
문병,お見舞い
문서,文書
문의,問い合わせ
문자,文字、SMS、ショートメッセージ
문제점,問題点
문학,文学
문화생활,文化的な生活
문화유산,文化遺産
문화적,文化的
묻히다,つける、まぶす
물가,物価
물고기,魚
물냉면,水冷麺
물다,咬む、口にくわえる
물러서다,後退する
물려주다,譲る、譲り渡す
물리다,飽きる、噛まれる
물방울,水玉
물약,飲み薬、水薬
물음,問い
물질,物質
물품,物品
뮤지컬,ミュージカル
미끄러지다,滑る
미끄럽다,つるつるしている、滑りやすい
미루다,延ばす
미소,微笑み
미역,ワカメ
미역국,ワカメスープ
미용사,美容師
미인,美人
미치다,及ぶ、及ぼす
미팅,合コン
미혼,未婚
민박,民宿、民泊
민속,民俗
민속놀이,民俗遊び
민요,民謡
민족,民族
믿다,信じる
믿음,信頼、信仰
믿음직스럽다,頼もしい、信頼できる
믿음직하다,頼もしい
밀다,押す
밀려오다,押し寄せてくる
밀리미터,ミリメートル
밉다,憎い、醜い
및,および
밑줄,下線
바가지,ひょうたん
바구니,かご
바깥,外、屋外、表
바느질,針仕事
바늘,針
바닥,底、床
바닥나다,底をつく
바닷물,海水
바둑,囲碁
바라보다,見渡す、眺める
바보,馬鹿
바위,岩
바이러스,ウイルス
바퀴,ホイール、車輪
바탕,基礎、土台、素地
박사,博士
박스,ボックス
반가워하다,懐かしがる
반납,返却
반납일,返却日
반대,反対
반대말,反対語
반대쪽,反対側
반드시,必ず
반말,タメ口
반복,反復、リピート
반성,反省
반응,反応
반짝반짝,ぴかぴか
반짝이다,きらめく、輝く
반품,返品
반하다,惚れる
받아들이다,受け入れる
발걸음,足どり
발견,発見
발급,発給
발달,発達
발레,バレエ
발명,発明
발목,足首
발생,発生
발자국,足跡
발표자,発表者
발표회,発表会
밝히다,明らかにする
밟다,踏む
밤새,夜の間
밤새우다,徹夜する
밥그릇,ご飯茶碗
밥맛,ご飯の味、食欲
밥상,お膳
방금,たった今
방문,訪問
방송사,放送会社、放送社
방식,方式
방청객,傍聴人
방해,妨害、じゃま
방향,方向
밭,畑
배경,背景
배꼽,へそ
배낭,リュックサック
배낭여행,バックパック旅行
배려,配慮
배우자,配偶者
배추,白菜
배터리,バッテリー
뱀,蛇
뱉다,吐きだす
버릇,癖、礼儀作法
버릇없다,行儀が悪い、わがままだ
버섯,きのこ
버튼,ボタン
번역,翻訳
번호표,番号表
벌금,罰金
벌리다,あける、広げる
벌집,蜂の巣
범위,範囲
범인,犯人
범죄,犯罪
법,法律、法
법원,裁判所
벗기다,脱がせる、取れる
벗어나다,抜け出す、それる
베개,枕
벨,ベル
벨트,ベルト
벼,稲
벼락,雷
벼룩시장,フリーマーケット
벽걸이,壁掛け
벽돌,煉瓦
변경,変更
변기,トイレ
변명,弁明、言い訳
변비,便秘
변하다,変わる
변화,変化
별명,ニックネーム、あだ名、別名
별일,変わったこと、別ごと
병문안,お見舞い
보고,報告
보고서,レポート、報告書
보고회,報告会
보관,保管
보관실,保管室
보기,見本、例
보너스,ボーナス
보람,やりがい、甲斐
보름,陰暦の十五日
보름달,満月、十五夜の月
보물,宝物
보살피다,面倒を見る
보약,強壮剤、補薬
보증금,保証金、敷金
보충,補充
보험,保険
보험금,保険金
보험료,保険料
보호,保護
복,福
복권,宝くじ
복날,ポンナル、滋養食を食べる日
복도,廊下
복사,複写、コピー
복사기,コピー機
복습,復習
복통,腹痛
본론,本論
본문,本文
볼거리,見どころ
볼륨,ボリューム
볼링,ボーリング
볼링장,ボーリング場
볼일,用事
봉사,ボランティア、奉仕
봉사자,奉仕者
부끄러워하다,恥ずかしがる
부끄럽다,恥ずかしい
부담,負担、負い目
부딪치다,ぶつかる
부딪히다,ぶつかる、直面する
부러워하다,うらやむ
부러지다,折れる
부럽다,うらやましい
부분,部分
부사,副詞
부상,負傷、けが
부상자,負傷者
부서,部署
부서지다,壊れる
부자,金持ち
부작용,副作用
부잣집,金持ちの家
부정적,否定的
부족,不足
부주의,不注意
부지런히,熱心に
부채,うちわ、扇子
부케,ブーケ
부피,大きさ
분량,分量
분리,分離
분리수거,分別収集
분명하다,明らかだ、はっきりしている
분명히,明確に
분실,紛失
분실물,忘れ物
분홍색,ピンク色
불가능,不可能
불가능하다,不可能である
불경기,不景気
불교,仏教
불규칙,不規則
불꽃놀이,花火遊び、花火見物
불량,不良
불만,不満
불면증,不眠症
불법,不法、違法
불빛,炎、あかり
불쌍하다,哀れだ
불안,不安
불안감,不安感
불어나다,増える、増す
불친절,不親切
불태우다,燃やす
불편,不便
불평,不平
불필요,不要、不必要
불행,不幸
붉다,赤い
붐비다,込み合う
붕어빵,たい焼き
붙잡다,捕まえる
붙잡히다,捕まる
뷔페,ビュッフェ
브랜드,ブランド
브레이크,ブレーキ
블라인드,ブラインド
블로그,ブログ
비교,比較
비교적,比較的
비닐,ビニール
비다,空いている
비디오카메라,ビデオカメラ
비록,たとえ～でも
비만,肥満
비바람,雨風
비비다,こする、揉む、混ぜる
비빔냉면,ビビン冷麺
비상약,常備薬、非常用の薬
비용,費用
비우다,空にする、空ける
비자,ビザ
비추다,照らす
비타민,ビタミン
비하다,比べる
빗길,雨の道
빚,借金
빛,光
빠뜨리다,落とす
빠지다,落ちる、抜ける
빠짐없이,もれなく、抜かりなく
빨개지다,赤くなる
빼앗기다,奪われる
빼앗다,奪う
뺨,頬
뻔하다,確かだ、自明だ
뻗다,伸びる
뽑다,抜く、選ぶ
뿌리,根
뿌리다,振りまく
사건,事件
사고방식,考え方
사교적,社交的
사귀다,付き合う、交わる
사라지다,消える
사로잡다,捕える
사막,砂漠
사망,死亡
사망자,死亡者、死者
사모님,奥様
사무소,事務所
사생활,私生活、プライベート
사슴,鹿
사실,事実
사업,事業
사용료,使用料
사용법,使用法
사우나,サウナ
사은품,景品、おまけ
사이버,サイバー
사이좋다,仲が良い
사이트,サイト
사정,事情
사진관,写真館
사진첩,写真アルバム
사춘기,思春期
사투리,訛り、方言
사표,辞表
사회,社会
사회생활,社会生活
사회자,司会者
사회적,社会的
산꼭대기,山頂
산더미,山積み、山盛り
산부인과,産婦人科
산불,山火事
산업,産業
산책로,散策路
살리다,生かす
살림,暮らし
살아가다,生きていく
살아나다,助かる
살아남다,生き延びる
살아오다,生きてくる
살인,殺人
살짝,こっそり、そっと、静かに
살찌다,太る、肉が付く
살펴보다,探る、観察する、注意してみる
살피다,調べる、探る
삶,暮し、人生、生
삶다,ゆでる
삼겹살,サムギョプサル
삼일절,3.1節
삼키다,飲み込む
상,相
상가,商店街
상관없다,気にしない
상관없이,関係なく
상금,賞金
상담,相談
상담실,相談室
상담원,エージェント、相談員
상담자,相談者
상당히,かなり
상대,相手
상대방,相手
상대편,相手方
상상,想像
상상력,想像力
상승,上昇
상식,常識
상업,商業
상업적,商業的
상인,商人
상점,商店
상징,象徴
상쾌하다,さわやかだ、爽快だ
상태,状態
상표,商標、ラベル
상품권,商品券
상하다,傷む、（食べ物などが）腐る
상황,状況
새다,夜が明ける、夜明かしをする
새롭다,新しい
새어머니,継母
새우다,夜を明かす
새치기,割り込み
새해,新年
색다르다,風変りだ
색상,色相
생각나다,思い出す
생강차,生姜茶
생겨나다,生じる
생김새,見かけ
생략,省略
생머리,ストレート
생명,命
생산,生産
생생하다,新鮮だ、生々しい
생중계,生放送
생필품,生活必需品
생활비,生活費
생활수준,生活水準
서너,三・四
서두르다,急ぐ、焦る
서랍,引き出し
서론,序論
서명,署名
서부,西部
서빙,サービング
서서히,徐々に
서운하다,名残惜しい
서투르다,下手だ
석사,修士
석식,夕食
석유,石油
석탄,石炭
섞다,混ぜる
선,線
선글라스,サングラス
선선하다,涼しい
선진국,先進国
선착순,先着順
설,説
설득,説得
설마,まさか
설명서,マニュアル、説明書
설문조사,アンケート
설문지,アンケート
설사,例え、下痢
섭섭하다,名残惜しい、寂しい
성공,成功
성능,性能
성당,聖堂
성명,声明
성별,性別
성실,誠実
성인,成人
성인병,成人病
성적,成績
성적표,成績表
성형,整形
세계적,世界的
세금,税金
세기,世紀
세다,数える
세대,世代
세련,洗練
세면대,洗面台
세면도구,洗面道具
세미나,セミナー
세배,トリプル、3倍
세뱃돈,お年玉
세상,世界
세월,歳月
세제,洗剤
세탁물,洗濯物
셔츠,シャツ
셔틀버스,シャトルバス
소감,所感、感想
소개팅,合コン
소규모,小規模
소극장,小劇場
소극적,消極的
소나기,夕立
소년,少年
소득,所得
소망,希望
소매,袖
소매치기,すり
소문,うわさ、評判
소방관,消防官
소방서,消防署
소방차,消防車
소비,消費
소비자,消費者
소설책,小説
소수,少数
소스,ソース
소심하다,小心である
소용,使い道
소용없다,無駄だ、役に立たない
소원,念願、願い
소음,騒音
소주,焼酎
소중하다,大事だ
소중히,大切に
소화,消化
속다,だまされる
속담,ことわざ
속도,速度
속도위반,速度違反
속력,スピード、速力
속상하다,しゃくにさわる、気に障る
속옷,下着
속이다,あざむく、だます
손바닥,手のひら
손발,手足
손쉽다,たやすい
손자,男の孫
손잡이,手すり、取っ手
손질,手入れ
솔직하다,率直である
솔직히,率直に言って
솜씨,手並み、手際
송금,送金
쇠,鉄、金物、錠
쇠고기,牛肉
쇼,ショー
쇼핑몰,ショッピングモール
쇼핑백,ショッピングバッグ
쇼핑센터,ショッピングセンター
수거,回収
수고,苦労
수단,手段
수도꼭지,水道の蛇口
수량,数量
수료식,修了式
수리,受理、修理
수리비,修理費
수면,睡眠
수면제,睡眠薬
수명,寿命
수산물,水産物
수상,首相
수선,修繕
수선하다,修理する、修繕する
수수료,手数料
수입,収入、輸入
수정,修正、水晶
수준,レベル
수집,収集、コレクション
수출,輸出
수표,小切手
수학여행,修学旅行
숙녀복,婦人服
숙박,宿泊
숙박비,宿泊費
숙소,宿
숙이다,下げる、うなだれる
순간,瞬間
순두부찌개,スンドゥブチゲ
술자리,飲み会
술잔,盃
술집,バー
숨기다,隠す
숨다,隠れる
숫자,数字
숲,森、林
스님,お坊さん
스스로,自ら、自分で、自然と
스캐너,スキャナー
스타일,スタイル
스티커,シール、ステッカー
스프,スープ
스피커,スピーカー
슬리퍼,スリッパ
슬픔,悲しみ
습기,湿気
습도,湿度
승강기,エレベーター
승객,乗客
승리,勝利
승용차,乗用車
승진,昇進
승차,乗車
시각,視覚
시대,時代
시도,試み
시력,視力
시리다,ひりひりする、しびれるほど冷たい
시부모님,義理の両親
시스템,システム
시아버지,舅、夫の父
시어머니,姑、夫の母
시외버스,市外バス
시인,詩人
시집,詩集、嫁入り先
시집가다,嫁に行く、（女性が）結婚する
시청각실,視聴覚室
시청자,視聴者
시합,試合
시험공부,試験勉強
식,式、やり方、方法
식구,家族
식료품,食料品
식물,植物
식물원,植物園
식비,食費
식생활,食生活
식습관,食習慣
식욕,食欲
식용유,食用油
식초,酢
식품,食品
식후,食後
신고,通報
신기다,履かせる
신기술,新技術
신기하다,不思議だ、珍しい
신나다,浮かれる、興がのる
신도시,新都市
신랑,新郎
신랑감,新郎候補
신문사,新聞社
신문지,新聞紙
신부,神父、新婦
신분증,身分証明書
신상품,新商品
신선하다,新鮮だ
신세대,新世代
신용,信用
신입생,新入生
신제품,新製品
신청자,申請者
신체,身体、体
신형,新型
신호,信号
신혼,新婚
신혼부부,新婚夫婦
신혼여행,新婚旅行
싣다,乗せる、積む
실,糸
실내,室内
실력,実力
실망,失望
실시,実施
실용적,実用的
실은,実は
실제,実際
실제로,実際に
실종,失踪
실종자,失踪者、行方不明者
실천,実践
실컷,思う存分、飽きるほど
실크,シルク
실패,失敗
실험,実験
실험실,実験室
싫증,飽き
심각하다,深刻だ
심다,植える
심리학,心理学
심리학자,心理学者
심부름,お使い
심심하다,退屈だ
심장,心臓
심장병,心臓病
싱싱하다,みずみずしい、生き生きしている
싱크대,シンク台
싸구려,安物
싸움,喧嘩
쌀쌀하다,肌寒い
쌍둥이,双子
쌓다,積む、築く
쏘다,射る、撃つ
쏟다,こぼす
